month,rank,char,opp,score
202502,36,ED,DEE JAY,4.909
202502,36,ED,A.K.I.,4.633
202502,36,ED,M. BISON,4.947
202502,36,ED,BLANKA,4.584
202502,36,ED,LUKE,4.962
202502,36,ED,GUILE,4.845
202502,36,ED,LILY,4.978
202502,36,ED,MANON,5.246
202502,36,ED,TERRY,4.973
202502,36,ED,CHUN-LI,4.750
202502,36,ED,MARISA,5.055
202502,36,ED,CAMMY,4.966
202502,36,ED,KEN,4.991
202502,36,ED,JURI,5.022
202502,36,ED,JAMIE,5.071
202502,36,ED,ZANGIEF,5.440
202502,36,ED,RYU,5.083
202502,36,ED,AKUMA,4.885
202502,36,RYU,MAI,4.771
202502,36,RYU,DHALSIM,4.751
202502,36,RYU,E. HONDA,5.069
202502,36,RYU,KIMBERLY,4.689
202502,36,RYU,JP,4.683
202502,36,RYU,RASHID,4.907
202502,36,RYU,DEE JAY,4.910
202502,36,RYU,A.K.I.,4.893
202502,36,RYU,M. BISON,4.908
202502,36,RYU,BLANKA,5.077
202502,36,RYU,LUKE,4.863
202502,36,RYU,GUILE,4.922
202502,36,RYU,LILY,4.949
202502,36,RYU,MANON,4.924
202502,36,RYU,TERRY,5.013
202502,36,RYU,CHUN-LI,4.877
202502,36,RYU,MARISA,4.973
202502,36,RYU,CAMMY,4.828
202502,36,RYU,KEN,5.021
202502,36,RYU,JURI,5.005
202502,36,RYU,JAMIE,4.990
202502,36,RYU,ZANGIEF,5.041
202502,36,RYU,ED,4.919
202502,36,RYU,AKUMA,4.998
202502,36,AKUMA,MAI,4.668
202502,36,AKUMA,DHALSIM,4.731
202502,36,AKUMA,E. HONDA,4.831
202502,36,AKUMA,KIMBERLY,4.708
202502,36,AKUMA,JP,5.164
202502,36,AKUMA,RASHID,4.863
202502,36,AKUMA,DEE JAY,4.733
202502,36,AKUMA,A.K.I.,4.954
202502,36,AKUMA,M. BISON,4.758
202502,36,AKUMA,BLANKA,4.999
202502,36,AKUMA,LUKE,5.009
202502,36,AKUMA,GUILE,4.677
202502,36,AKUMA,LILY,4.911
202502,36,AKUMA,MANON,5.048
202502,36,AKUMA,TERRY,4.954
202502,36,AKUMA,CHUN-LI,4.837
202502,36,AKUMA,MARISA,4.978
202502,36,AKUMA,CAMMY,4.676
202502,36,AKUMA,KEN,5.018
202502,36,AKUMA,JURI,4.966
202502,36,AKUMA,JAMIE,5.036
202502,36,AKUMA,ZANGIEF,4.980
202502,36,AKUMA,ED,5.121
202502,36,AKUMA,RYU,5.007
202502,40,BLANKA,KIMBERLY,5.606
202502,40,BLANKA,DHALSIM,5.567
202502,40,BLANKA,E. HONDA,4.508
202502,40,BLANKA,CHUN-LI,5.132
202502,40,BLANKA,JP,5.068
202502,40,BLANKA,CAMMY,5.455
202502,40,BLANKA,MARISA,5.341
202502,40,BLANKA,LUKE,5.069
202502,40,BLANKA,M. BISON,5.101
202502,40,BLANKA,DEE JAY,4.937
202502,40,BLANKA,JURI,5.325
202502,40,BLANKA,LILY,5.795
202502,40,BLANKA,ED,5.385
202502,40,BLANKA,MANON,5.076
202502,40,BLANKA,KEN,4.827
202502,40,BLANKA,TERRY,4.789
202502,40,BLANKA,RASHID,5.125
202502,40,BLANKA,ZANGIEF,5.362
202502,40,BLANKA,GUILE,4.701
202502,40,BLANKA,JAMIE,5.415
202502,40,BLANKA,MAI,4.878
202502,40,BLANKA,AKUMA,4.988
202502,40,BLANKA,A.K.I.,5.169
202502,40,BLANKA,RYU,5.110
202502,40,KIMBERLY,BLANKA,4.410
202502,40,KIMBERLY,DHALSIM,5.271
202502,40,KIMBERLY,E. HONDA,4.828
202502,40,KIMBERLY,CHUN-LI,4.907
202502,40,KIMBERLY,JP,5.499
202502,40,KIMBERLY,CAMMY,5.061
202502,40,KIMBERLY,MARISA,5.074
202502,40,KIMBERLY,LUKE,5.102
202502,40,KIMBERLY,M. BISON,5.047
202502,40,KIMBERLY,DEE JAY,5.039
202502,40,KIMBERLY,JURI,4.904
202502,40,KIMBERLY,LILY,5.346
202502,40,KIMBERLY,ED,5.493
202502,40,KIMBERLY,MANON,4.905
202502,40,KIMBERLY,KEN,4.797
202502,40,KIMBERLY,TERRY,4.961
202502,40,KIMBERLY,RASHID,4.874
202502,40,KIMBERLY,ZANGIEF,4.987
202502,40,KIMBERLY,GUILE,5.019
202502,40,KIMBERLY,JAMIE,5.069
202502,40,KIMBERLY,MAI,5.206
202502,40,KIMBERLY,AKUMA,5.136
202502,40,KIMBERLY,A.K.I.,5.259
202502,40,KIMBERLY,RYU,5.171
202502,40,DHALSIM,BLANKA,4.370
202502,40,DHALSIM,KIMBERLY,4.721
202502,40,DHALSIM,E. HONDA,4.190
202502,40,DHALSIM,CHUN-LI,5.243
202502,40,DHALSIM,JP,5.872
